,Project Name,Procuring Entity,OCID,Project Cost,Contractor,Class,Asset Range,No of Employee,Year,Status,Remark,Award Date,Publication Date,Project Location
,"Upgrade and Rehabilitation of Osborne Verge Garden, Ikoyi (Horticultural, Civil, Electrical and Mechanical works)",L/S PARKS AND GARDEN AGENCY,ocds-5q8fsw-5202283384245,"10,000,000.00",HESBEE ENTERPRISES LIMITED,Private Organization,,0,2021,ACTIVE,,"Monday, November 22, 2021","Friday, May 20, 2022",IKOYI LAGOS
,ENGAGEMENT OF FIRM FOR THE PROVISION  OF JANITORIAL SERVICES,MINISTRY OF ENERGY MINERAL RESOURCES DEV,ocds-5q8fsw-5202234508373,"2,432,500.00",SMAP INDUSTRIES LIMITED,Private Organization,,0,2021,COMPLETED,,"Monday, August 30, 2021","Friday, May 20, 2022","ALAUSA, IKEJA"
,PROUREMENT OF ICT CONSUMABLES FOR THE FIRST QUARTER Y2021,MINISTRY OF ENERGY MINERAL RESOURCES DEV,ocds-5q8fsw-5202248823221,"2,300,500.00",KINGSTON TECHNOLOGIES LTD,Private Organization,,0,2021,COMPLETED,,"Wednesday, August 4, 2021","Friday, May 20, 2022","ALAUSA, IKEJA"
,Procurement and registration of JAC Frison T6 4X4 Pick UP,L/S PARKS AND GARDEN AGENCY,ocds-5q8fsw-5202208045142,"19,800,048.75",FONTERRA GLOBAL RESOURCES NIGERIA LIMITED,Private Organization,,0,2021,ACTIVE,,"Monday, November 22, 2021","Friday, May 20, 2022",IKEJA LAGOS
,"Procurement and supply, registration/Licensing and branding of 1 (One) unit of 30-Tones Tipper Truck",L/S PARKS AND GARDEN AGENCY,ocds-5q8fsw-5202231535667,"30,125,000.00",3PLOWE SOLUTIONS,Private Organization,,0,2021,ACTIVE,,"Monday, March 22, 2021","Friday, May 20, 2022","ALAUSA, IKEJA"
,ENGAGEMENT OF CONSULTANT FOR THE DEVELOPMENT  OF  DATA BASE  FOR OIL AND GAS FACILITIES IN LAGOS STATE,MINISTRY OF ENERGY MINERAL RESOURCES DEV,ocds-5q8fsw-5202240536361,"41,500,000.00",INTERSPATIAL TECHNOLOGIES LIMITED,Private Organization,,0,2021,ONGOING,,"Wednesday, August 4, 2021","Friday, May 20, 2022",LAGOS
,ELECTRIFICATION OF RANDLE GENERAL HOSPITAL SURULERE,MINISTRY OF ENERGY MINERAL RESOURCES DEV,ocds-5q8fsw-5202261171303,"158,053,852.45",DTLK AND BMA LIMITED,Private Organization,,0,2021,COMPLETED,,"Wednesday, August 4, 2021","Friday, May 20, 2022","SURULERE, LAGOS"
,ELECTRIFICATION OF EBUTE-META GENERAL HOSPITAL,MINISTRY OF ENERGY MINERAL RESOURCES DEV,ocds-5q8fsw-5202237536378,"162,853,879.95",DTLK AND BMA LIMITED,Private Organization,,0,2021,COMPLETED,,"Thursday, April 8, 2021","Friday, May 20, 2022",EBUTE-META LAGOS
,"Completion works of Block B of the multi Agency office complex, Alausa",MINISTRY OF WORKS INFRASTRUCTURE,ocds-5q8fsw-5202217720535,"2,002,299,555.15",MESSRS METROL FITTINGS AND ACESSORIES NIGERIA LIMITED,Private Organization,,0,2021,ACTIVE,NEW AWARD,"Monday, May 10, 2021","Friday, May 20, 2022",ALAUSA
,"Rehabilitation/Changing of Expansion Joints Between Apongbon and National Stadium Flyover Surulere, Lagos",MINISTRY OF WORKS INFRASTRUCTURE,ocds-5q8fsw-5202282432382,"146,808,995.56",BUILDWELL PLANTS EQUIPMENT INDUSTRIES LIMITED,Private Organization,,0,2021,ACTIVE,NEW AWARD,"Wednesday, May 26, 2021","Friday, May 20, 2022","Surulere, Lagos"
,Construction of Magon-Alade Township roads in Ibeji-Lekki Local Government Area.,MINISTRY OF WORKS INFRASTRUCTURE,ocds-5q8fsw-5202271441553,"424,839,675.04",ORIGIN ENGINEERING COMPANY LTD,Private Organization,,0,2021,ACTIVE,NEW AWARD,"Friday, June 25, 2021","Friday, May 20, 2022",Unspecified
,ENGAGEMENT OF A CONSULTANT FOR THE REVIEW OF PROPOSED POWER SOLUTIONS FOR 6MW POWER SUPPLY FOR  RICE MILL IMOTA,MINISTRY OF ENERGY MINERAL RESOURCES DEV,ocds-5q8fsw-5202230083231,"7,500,000.00",MN DEVELOPMENT SOLUTIONS LIMITED,Private Organization,,0,2021,COMPLETED,,"Tuesday, November 30, 2021","Friday, May 20, 2022","IMOTA, LAGOS"
,Virtual (batch a) Webinar workshop on management character development techniques to optimal performance,MINISTRY OF WORKS INFRASTRUCTURE,ocds-5q8fsw-5202222107315,"2,326,400.00",HAVANNA ASSOCIATES CONSULTING LIMITED,Private Organization,,0,2021,ACTIVE,NEW AWARD,"Friday, June 25, 2021","Friday, May 20, 2022",ALAUSA
,Virtual (batch b) Webinar workshop on management character development techniques to optimal performance,MINISTRY OF WORKS INFRASTRUCTURE,ocds-5q8fsw-5202260815115,"1,546,700.00",HAVANNA ASSOCIATES CONSULTING LIMITED,Private Organization,,0,2021,ACTIVE,NEW AWARD,"Friday, June 25, 2021","Friday, May 20, 2022",ALAUSA
,"Renovation/Maintenance of Staff Quarters YR2021 located in Ikeja,Ogba and Badagry",MINISTRY OF WORKS INFRASTRUCTURE,ocds-5q8fsw-5202263420842,"26,134,444.18",SHEFFIELD NIGERIA LIMITED,Private Organization,,0,2021,ACTIVE,NEW AWARD,"Tuesday, July 6, 2021","Friday, May 20, 2022","Ikeja,Ogba and Badagry"
,Renovation/Maintenance of Staff Quarters YR2021 located in Alausa,MINISTRY OF WORKS INFRASTRUCTURE,ocds-5q8fsw-5202287644207,"22,867,079.79",WATCHTOWER MANAGEMENT LIMITED,Private Organization,,0,2021,ACTIVE,NEW AWARD,"Tuesday, July 6, 2021","Friday, May 20, 2022",Alausa
,Renovation/Maintenance of Staff Quarters YR2021 located in Alausa Ogba,MINISTRY OF WORKS INFRASTRUCTURE,ocds-5q8fsw-5202248624276,"21,807,090.72",F B WALSEM GLOBAL VENTURES,Private Organization,,0,2021,ACTIVE,NEW AWARD,"Tuesday, July 6, 2021","Friday, May 20, 2022",Alausa Ogba
,ENGAGEMENT OF CONSULTANT FOR ENERGY OPERATIONS COMMAND CENTRE FOR LAGOS STATE GOVERNMENT,MINISTRY OF ENERGY MINERAL RESOURCES DEV,ocds-5q8fsw-5202230018606,"418,000,000.00",POWERTECH ADVANCED BUSINESS TECHNOLOGIES LTD,Private Organization,,0,2021,ONGOING,,"Tuesday, June 29, 2021","Friday, May 20, 2022",LAGOS
,Renovation/Maintenance of Staff Quarters YR2021 located in Alausa,MINISTRY OF WORKS INFRASTRUCTURE,ocds-5q8fsw-5202238673553,"21,453,893.24",DABEF ENTERPRISES,Private Organization,,0,2021,ACTIVE,NEW AWARD,"Tuesday, July 6, 2021","Friday, May 20, 2022",ALAUSA
,Renovation/Maintenance of Staff Quarters YR2021 located in Alausa Ikeja,MINISTRY OF WORKS INFRASTRUCTURE,ocds-5q8fsw-5202261684468,"20,799,393.98",GRIFFIN INDUSTRIES LIMITED,Private Organization,,0,2021,ACTIVE,NEW AWARD,"Wednesday, August 18, 2021","Friday, May 20, 2022",Alausa Ikeja
,UPGRADE OF THE DISTRIBUTION INFRASTRUTURE ACROSS ELEKO- AJAH-LEKKI BUSINESS DISTRICT AND MAGBON  PHASE 1B,MINISTRY OF ENERGY MINERAL RESOURCES DEV,ocds-5q8fsw-5202280427410,"499,100,000.00",DTLK AND BMA LIMITED,Private Organization,,0,2021,ONGOING,,"Thursday, December 16, 2021","Friday, May 20, 2022","MAGBON, LAGOS"
,Renovation/Maintenance of Staff Quarters YR2021 located in Ogba,MINISTRY OF WORKS INFRASTRUCTURE,ocds-5q8fsw-5202251831353,"19,507,701.16",METCLUX NIGERIA LIMITED,Private Organization,,0,2021,ACTIVE,NEW AWARD,"Tuesday, July 6, 2021","Friday, May 20, 2022",OGBA
,Renovation/Maintenance of Staff Quarters YR2021 located in Ogba,MINISTRY OF WORKS INFRASTRUCTURE,ocds-5q8fsw-5202216334245,"18,328,136.11",SHEFFIELD NIGERIA LIMITED,Private Organization,,0,2021,ACTIVE,NEW AWARD,"Tuesday, July 6, 2021","Friday, May 20, 2022",OGBA
,"Renovation/Maintenance of Staff Quarters YR2021 located in Ikorodu,Badagry,Alaka and Akoka",MINISTRY OF WORKS INFRASTRUCTURE,ocds-5q8fsw-5202268850454,"17,278,537.51",SHEFFIELD NIGERIA LIMITED,Private Organization,,0,2021,ACTIVE,NEW AWARD,"Tuesday, July 6, 2021","Friday, May 20, 2022","Ikorodu,Badagry,Alaka and Akoka"
,Renovation/Maintenance of Staff Quarters YR2021 located in Ogba,MINISTRY OF WORKS INFRASTRUCTURE,ocds-5q8fsw-5202228747246,"12,990,279.66",FESTBON NIGERIA LIMITED,Private Organization,,0,2021,ACTIVE,NEW AWARD,"Tuesday, July 6, 2021","Friday, May 20, 2022",OGBA
,Renovation/Maintenance of Staff Quarters YR2021 located in Ogba,MINISTRY OF WORKS INFRASTRUCTURE,ocds-5q8fsw-5202227818080,"12,715,206.97",LAURYNBANKY INTERNATIONAL COMPANY,Private Organization,,0,2021,ACTIVE,NEW AWARD,"Tuesday, July 6, 2021","Friday, May 20, 2022",OGBA
,Renovation/Maintenance of Staff Quarters YR2021 located in Ogba,MINISTRY OF WORKS INFRASTRUCTURE,ocds-5q8fsw-5202258758074,"12,661,016.82",FAROPAD GLOBAL VENTURES,Private Organization,,0,2021,ACTIVE,NEW AWARD,"Tuesday, July 6, 2021","Friday, May 20, 2022",OGBA
,Renovation/Maintenance of Staff Quarters YR2021 located in Alausa,MINISTRY OF WORKS INFRASTRUCTURE,ocds-5q8fsw-5202240837655,"21,517,092.55",RINO FAVALE LIMITED,Private Organization,,0,2021,ACTIVE,NEW AWARD,"Monday, July 26, 2021","Friday, May 20, 2022",ALAUSA
,Renovation/Maintenance of Staff Quarters YR2021 located in Ogba,MINISTRY OF WORKS INFRASTRUCTURE,ocds-5q8fsw-5202204682154,"10,485,893.27",INTERMOL CONSULT LIMITED,Private Organization,,0,2021,ACTIVE,NEW AWARD,"Monday, July 26, 2021","Friday, May 20, 2022",Ogba
,Renovation of Nigeria law School Hostel Lagos Campus,MINISTRY OF WORKS INFRASTRUCTURE,ocds-5q8fsw-5202237860842,"100,841,101.47",MOTAK INVESTMENTS NIGERIA LIMITED,Private Organization,,0,2021,ACTIVE,NEW AWARD,"Thursday, August 12, 2021","Friday, May 20, 2022",LAGOS
,"Renovation of J.I.C. Taylor Magistrate Court, Igbosere, Lagos Island",MINISTRY OF WORKS INFRASTRUCTURE,ocds-5q8fsw-5202260154201,"613,006,708.16",BARROWS CONSTRUCTION LIMITED,Private Organization,,0,2021,ACTIVE,NEW AWARD,"Wednesday, August 18, 2021","Friday, May 20, 2022","Igbosere, Lagos Island"
,"Procurement of computer systems , ups and Laptops for the ministry of works",MINISTRY OF WORKS INFRASTRUCTURE,ocds-5q8fsw-5202218363503,"8,994,000.00",QISTA TECHNOLOGIES,Private Organization,,0,2021,ACTIVE,NEW AWARD,"Monday, August 30, 2021","Friday, May 20, 2022","ALAUSA, IKEJA"
,UPGRADE OF THE DISTRIBUTION INFRASTRUTURE ACROSS ELEKO- AJAH-LEKKI BUSINESS DISTRICT AND MAGBON  PHASE 1A,MINISTRY OF ENERGY MINERAL RESOURCES DEV,ocds-5q8fsw-5202280473432,"499,946,980.00",DTLK AND BMA LIMITED,Private Organization,,0,2021,ONGOING,,"Thursday, December 16, 2021","Thursday, May 19, 2022","MAGBON, LAGOS"
,"REPLACEMENT OF DAMAGED 4X 70MM2,PVC/SWA/PVC UNDERGROUND ARMOURED CABLE POWERING SECTIONS OF DEPUTY GOVERNOR S OFFICE",MINISTRY OF ENERGY MINERAL RESOURCES DEV,ocds-5q8fsw-5202213803341,"3,492,929.63",LADCO CONSTRUCTION COMPANY,Private Organization,,0,2022,COMPLETED,,Not Available,"Thursday, May 19, 2022","ALAUSA, IKEJA"
,procurement of stationaries for architectural building and quantity surveying services department,MINISTRY OF WORKS INFRASTRUCTURE,ocds-5q8fsw-5202273052307,"2,323,510.00",HESBEE ENTERPRISES LIMITED,Private Organization,,0,2021,ACTIVE,NEW AWARD,"Tuesday, September 14, 2021","Thursday, May 19, 2022",ALAUSA IKEJA
,"Rehabilitation of Macpherson Road, Ikoyi Eti-osa LGA",MINISTRY OF WORKS INFRASTRUCTURE,ocds-5q8fsw-5202258584815,"2,080,775,699.00",JULIUS BERGER NIGERIA PLC,Private Organization,,0,2021,ACTIVE,NEW AWARD,"Thursday, September 30, 2021","Thursday, May 19, 2022",Ikoyi Eti-osa LGA
,"Rehabilitation of Oyinkan Abayomi Drive , Ikoyi Eti-osa LGA",MINISTRY OF WORKS INFRASTRUCTURE,ocds-5q8fsw-5202275877410,"7,172,220,781.79",JULIUS BERGER NIGERIA PLC,Private Organization,,0,2021,ACTIVE,NEW AWARD,"Thursday, September 30, 2021","Thursday, May 19, 2022",Unspecified
,"Rehabilitation of Femi Okunnu , Ikoyi Eti-osa LGA",MINISTRY OF WORKS INFRASTRUCTURE,ocds-5q8fsw-5202233364705,"4,171,517,431.20",JULIUS BERGER NIGERIA PLC,Private Organization,,0,2021,ACTIVE,NEW AWARD,"Thursday, September 30, 2021","Thursday, May 19, 2022",Ikoyi Eti-osa LGA
,"CONTRACT AWARD FOR THE COMPLETION OF ONE BLOCK [BLOCK 24] AT SANGOTEDO HOUSING SCHEME ,PHASE II.",MINISTRY OF HOUSING,ocds-5q8fsw-5202256730430,"167,350,665.40",MONTAI NIGERIA LIMITED,Private Organization,,0,2021,COMPLETED,COMPLETION OF EXISTING PROJECT,"Wednesday, November 10, 2021","Wednesday, May 18, 2022","SANGOTEDO, LAGOS"
,CONTRACT AWARD FOR THE PROCUREMENT OF ICT EQUIPMENT FOR MINISTRY OF HOUSING,MINISTRY OF HOUSING,ocds-5q8fsw-5202210174341,"8,950,863.50",QISTA TECHNOLOGIES,Private Organization,,0,2021,COMPLETED,ICT TOOLS FOR THE MINISTRY,"Wednesday, November 17, 2021","Wednesday, May 18, 2022","ALAUSA, IKEJA"
,"APPROVED FLUCTUATION/VARIATION ON CONTRACT AWARD FOR THE COMPLETION OF THREE [3] BLOCKS [BLOCKS 8,12 14] AT LAGOSHOMS SANGOTEDO PHASE II.",MINISTRY OF HOUSING,ocds-5q8fsw-5202223234455,"69,444,587.70",ALIA ENGINEERING COMPANY LIMITED,Private Organization,,0,2021,COMPLETED,EXITING PROJECT,"Monday, November 8, 2021","Wednesday, May 18, 2022","SANGOTEDO, LAGOS"
,"CONTRACT AWARD FOR THE COMPLETION OF FOUR BLOCKS [BLOCKS 9,10,18 19] AT ODO -ONOSA /AYANDELU,AGBOWA HOUSING SCHEME.",MINISTRY OF HOUSING,ocds-5q8fsw-5202287325231,"94,823,003.37",STEP DEVELOPMENT LTD,Private Organization,,0,2021,COMPLETED,COMPLETION OF EXISTING PROJECT,"Thursday, October 28, 2021","Wednesday, May 18, 2022","AGBOWA, LAGOS"
,"CONTRACT AWARD FOR THE PROVISION OF LANDSCAPING AT EGAN- IGANDO MIXED HOUSING SCHEME, CLUSTER 1.",MINISTRY OF HOUSING,ocds-5q8fsw-5202233676288,"152,090,800.00",CLAYMORE LIMITED,Private Organization,,0,2021,COMPLETED,COMPLETION OF EXISTING PROJECT,"Thursday, July 22, 2021","Wednesday, May 18, 2022",EGAN- IGANDO LAGOS
,REDEVELOPMENT OF AJELOGO/AKANIMODO (MILE 12) INFRASTRUCTURE,MINISTRY OF HOUSING,ocds-5q8fsw-5202221218568,"100,000,000.00",TEE-AY-AY LIMITED,Private Organization,,0,2021,COMPLETED,SOFTWARE PROCUREMENT,"Wednesday, October 6, 2021","Wednesday, May 18, 2022",AJELOGO/AKANIMODO (MILE 12)
,CONTRACT AWARD FOR PROCUREMENT OF SURVEY /DATA ACQUISITION INSTRUMENTS FOR VARIOUS DEPARTMENT AND UNITS.,MINISTRY OF HOUSING,ocds-5q8fsw-5202227587564,"14,814,500.00",HESBEE ENTERPRISES LIMITED,Private Organization,,0,2021,COMPLETED,TOOLS REQUIRED FOR THE MINISTRY,"Wednesday, September 8, 2021","Wednesday, May 18, 2022","ALAUSA, IKEJA"
,CONTRACT AWARD FOR THE COMPLETION OF TWO BLOCKS [BLOCKS 4 5] AT LAGOSHOMS SANGOTEDO HOUSING SCHEME.,MINISTRY OF HOUSING,ocds-5q8fsw-5202201575184,"73,793,236.08",RAYUS INTERNATIONAL NIGERIA LIMITED,Private Organization,,0,2021,COMPLETED,COMPLETION OF EXISTING PROJECT,"Monday, August 9, 2021","Wednesday, May 18, 2022",SANGO-TEDO
,CONTRACT AWARD FOR PROCUREMENT OF COMPUTER CONSUMABLES AND ACCESSORIES FOR DEPARTMENT AND UNITS,MINISTRY OF HOUSING,ocds-5q8fsw-5202234114486,"2,998,938.16",QISTA TECHNOLOGIES,Private Organization,,0,2021,COMPLETED,ICT TOOLS FOR THE MINISTRY,"Friday, July 23, 2021","Wednesday, May 18, 2022","ALAUSA, IKEJA"
,Renovation/Maintenance of Staff Quarters YR2021 located in Ikeja AND Ikorodu,MINISTRY OF WORKS INFRASTRUCTURE,ocds-5q8fsw-5202208430657,"10,421,941.53",AMO EXCEL ENTERPRISES,Private Organization,,0,2021,ACTIVE,NEW AWARD,Not Available,"Tuesday, May 17, 2022",IKEJA AND IKORODU
,"Renovation/Maintenance of Staff Quarters YR2021 located in Ogba Worksyards, PWD Worksyards and old Secretariat",MINISTRY OF WORKS INFRASTRUCTURE,ocds-5q8fsw-5202243685533,"17,007,642.74",DOLSAM ENGINEERING COMPANY LIMITED,Private Organization,"100,000,001 to 200,000,000",34,2021,ACTIVE,NEW AWARD,"Thursday, September 30, 2021","Tuesday, May 17, 2022","Ogba Worksyards, PWD Worksyards and old Secretariat"
,"Renovation/Maintenance of Staff Quarters YR2021 located in Ogba Block 26 Flat 2, Block 18 Flat 7 and Block 15 Flat 2",MINISTRY OF WORKS INFRASTRUCTURE,ocds-5q8fsw-5202232438204,"12,483,550.60",NO 1 HERITAGE SOLUTIONS LIMITD,Private Organization,,0,2021,ACTIVE,NEW AWARD,"Thursday, September 30, 2021","Tuesday, May 17, 2022","OGBA, IKEJA"
,propsed construction of Opebi-Link Bridge and Approach Roads in ikeja LGA,MINISTRY OF WORKS INFRASTRUCTURE,ocds-5q8fsw-5202218817045,"57,579,667,839.69",JULIUS BERGER NIGERIA PLC,Private Organization,,0,2021,ACTIVE,NEW AWARD,"Monday, October 11, 2021","Tuesday, May 17, 2022",IKEJA LGA
,"CONTRACT AWARD FOR THE REPAINTING OF ALL OFFICES OF THE MINISTRY OF HOUSING [1ST 2ND FLOOR,BLOCK 3] ALAUSA SECRETARIAT,IKEJA.",MINISTRY OF HOUSING,ocds-5q8fsw-5202270028836,"3,150,517.24",FATAO VENTURES,Private Organization,,0,2021,COMPLETED,REPAINTING OF THE MINISTRY,"Tuesday, June 15, 2021","Monday, May 16, 2022","ALAUSA, IKEJA"
,"CONTRACT AWARD FOR THE COMPLEMENTARY INFRASTRUCTURE AT LAGOSHOMS AJARA,BADAGRY.",MINISTRY OF HOUSING,ocds-5q8fsw-5202217058400,"109,287,934.13",ZEALETT INCORPORATED NIGERIA LIMITED,Private Organization,,0,2021,COMPLETED,COMPLETION OF EXISTING PROJECT,"Friday, May 7, 2021","Monday, May 16, 2022","AJARA, BADAGRY"
,CONTRACT AWARD FOR THE COMPLETION OF INFRASTRUCTURAL FACILITIES  AT GBAGADA GENERAL HOUSING SCHEME,MINISTRY OF HOUSING,ocds-5q8fsw-5202236271202,"90,563,892.55",YESLAR ENTERPRISES,Private Organization,,0,2021,COMPLETED,COMPLETION OF EXISTING PROJECT,"Thursday, April 1, 2021","Monday, May 16, 2022","GBAGADA, LAGOS"
,"(Additional Works) for Construction of Access Roads With Bridges Oregun Amusement And Recreation Park, Opebi Link Road In Ikeja Local Government Area.",MINISTRY OF WORKS INFRASTRUCTURE,ocds-5q8fsw-5202213033245,"537,623,978.52",DC ENGINEERING LIMITED,Private Organization,,0,2021,ACTIVE,NEW AWARD,"Friday, December 31, 2021","Monday, May 16, 2022",Opebi Link Road In Ikeja L G A.
,"Construction of additional car parking lot through annexation ofd adjoining land area(1035m2 ) beside the newly consrtucted ibeshe floating jetty with terminal building project, at ibeshe, ikorodu local government area.",MINISTRY OF WORKS INFRASTRUCTURE,ocds-5q8fsw-5202275776506,"158,447,767.50",STEELWAYS NIGERIA LIMITED,Private Organization,,0,2021,ACTIVE,NEW AWARD,"Thursday, April 22, 2021","Monday, May 16, 2022",IKORODU LGA
,Rehabilitation of Failed Drainage and Pavement  Sections at Mile 2 along  Lagos-Badagry Expressway,MINISTRY OF WORKS INFRASTRUCTURE,ocds-5q8fsw-5202205201150,"1,955,526,331.21",CCECC NIGERIA LIMITED,Private Organization,,0,2021,ACTIVE,NEW AWARD,"Wednesday, September 9, 2020","Monday, May 16, 2022",Mile 2 along Lagos-Badagry Expressway
,PROVISION OF JANITORIAL SERVICES TO MINISTRY OF WORKS AND INFRASTRUCTURE,MINISTRY OF WORKS INFRASTRUCTURE,ocds-5q8fsw-5202231750206,"10,522,800.00",GOSHEN CLEANERS LIMITED,Private Organization,,0,2022,ACTIVE,NEW AWARD,"Wednesday, March 16, 2022","Monday, May 16, 2022",ALAUSA IKEJA
,"The fabrication and supply of 1,460 (One Thousand, Four Hundred and Sixty) units of school furniture for Identified schools in Ifako ijaiye, Alimosho and Agege LGA (Education District 1)",SPECIAL COMMITTEE ON REHABILITATION OF PUBLIC SCHOOLS,ocds-5q8fsw-5202267218612,"58,400,002.94",KICK - POINT LIMITED,Private Organization,,0,2021,COMPLETED,,"Monday, March 22, 2021","Wednesday, May 11, 2022","ALIMOSHO, LAGOS"
,SLUM IMPROVEMENT PLAN FOR IKOTA AND OLUSOSUN COMMUNITIES IN LAGOS STATE,LAGOS STATE URBAN RENEWAL AUTHORITY (LASURA),ocds-5q8fsw-7202114230424,"173,500,000.00",URBAN PLANNING SMART SOLUTIONS LIMITED,Private Organization,,0,2021,ONGOING,,Not Available,"Tuesday, July 13, 2021",LAGOS
,PREPARATION OF PLANNING SCHEME FOR ALAUSA BLIGHTED SETTLEMENT IN LAGOS STATE,LAGOS STATE URBAN RENEWAL AUTHORITY (LASURA),ocds-5q8fsw-7202144708874,"28,281,250.00",KADIRI ASSOCIATES LIMITED,Private Organization,,0,2021,ONGOING,,Not Available,"Monday, July 12, 2021",LAGOS
,Provision of Road Markings at 10 Locations Within Lagos Metropolis,MINISTRY OF TRANSPORT,ocds-5q8fsw-6202176322065,"184,599,058.00",FORTIS PROJECT SERVICES LIMITED,Private Organization,,0,2021,Not Yet Started,,Not Available,"Monday, June 28, 2021",Lagos
,Printing of Roadworthiness Certificate,MINISTRY OF TRANSPORT,ocds-5q8fsw-6202101557255,"50,000,000.00",LAGOS STATE PRINTING CORPORATION,AGENCY,,0,2021,Completed,Printing of Roadworthiness Certificate,Not Available,"Monday, June 28, 2021",Lagos
,Procurement of Eye Testing Equipment,MINISTRY OF TRANSPORT,ocds-5q8fsw-6202173318872,"44,032,000.00",GLOBAL TMS,Private Organization,,0,2021,Ongoing,Procurement of Eye Testing Equipment,Not Available,"Monday, June 28, 2021",Lagos
,Renovation and Maintenance of staff Quarter for YR2020 located in Ogba (Lot3B),MINISTRY OF WORKS INFRASTRUCTURE,ocds-5q8fsw-6202138083627,"34,785,207.94",OAT CONSTRUCTION NIGERIA LIMITED,Private Organization,,0,2020,Existing Work,,Not Available,"Monday, June 28, 2021",Lagos
,"Furnishing and Equipping of the Judges Chambers Courtrooms and all other identified spaces at Osborne Foreshore II, Ikoyi to Temporary High Court Complex",MINISTRY OF WORKS INFRASTRUCTURE,ocds-5q8fsw-6202167012565,"252,663,712.93",HAMILTON RESOURCES INTERNATIONAL,Private Organization,,0,2020,Existing Work,,Not Available,"Monday, June 28, 2021",Lagos
,Renovation and Maintenance of staff Quarter for YR2020 located in Ogba (Lot 1A 1B),MINISTRY OF WORKS INFRASTRUCTURE,ocds-5q8fsw-6202102576615,"64,563,633.69",LORD AND PHILIPS VENTURES LIMITED,Private Organization,,0,2020,Existing Work,,Not Available,"Monday, June 28, 2021",Lagos
,Renovation and Maintenance of staff Quarter for YR2020 located in Ogba (Lot5B),MINISTRY OF WORKS INFRASTRUCTURE,ocds-5q8fsw-6202154473013,"35,508,255.03",DALKTRUXX GLOBAL NIGERIA LIMITED,Private Organization,,0,2020,Existing Work,,Not Available,"Monday, June 28, 2021",Lagos
,Renovation and Maintenance of staff Quarter for YR2020 located in Ogba (Lot5A),MINISTRY OF WORKS INFRASTRUCTURE,ocds-5q8fsw-6202156642787,"23,008,001.06",ALGA CREATIONS INVESTMENT LIMITED,Private Organization,,0,2020,Existing Work,,Not Available,"Monday, June 28, 2021",Lagos
,Renovation and Maintenance of staff Quarter for YR2020 located in Ogba (Lot4A),MINISTRY OF WORKS INFRASTRUCTURE,ocds-5q8fsw-6202144887702,"25,422,063.26",MEGA ACCORD VENTURES,Private Organization,,0,2021,Existing Work,,Not Available,"Monday, June 28, 2021",Lagos
,Renovation and Maintenance of staff Quarter for YR2020 located in Ogba (Lot4b),MINISTRY OF WORKS INFRASTRUCTURE,ocds-5q8fsw-6202171646130,"25,473,406.51",MEGA ACCORD VENTURES,Private Organization,,0,2021,Existing Work,,Not Available,"Monday, June 28, 2021",Lagos
,Renovation and Maintenance of staff Quarter for YR2020 located in Ogba (Lot2b),MINISTRY OF WORKS INFRASTRUCTURE,ocds-5q8fsw-6202144255866,"33,910,821.60",BASHY BASH NIGERIA ENTERPRISES,Private Organization,,0,2020,Existing Work,,Not Available,"Monday, June 28, 2021",Lagos
,Design and Construction Supervision for the Rehabilitation of Failed Drainage and Pavement Section at Mile 2 Along Lagos-Badagry Expressway,MINISTRY OF WORKS INFRASTRUCTURE,ocds-5q8fsw-6202140481265,"90,849,095.10",MESSRS. ADVANCE ENGINEERING LIMITED,Private Organization,,0,2021,New Award,,Not Available,"Monday, June 28, 2021",Lagos
,"Rehabilitation/Changing of Expansion Joints Between Apongbon and National Stadium Flyover Surulere, Lagos",MINISTRY OF WORKS INFRASTRUCTURE,ocds-5q8fsw-6202111108842,"146,808,995.56",MESSRS. BUILDWELL PLANTS EQUIPMENT INDUSTRIAL LIMITED,Private Organization,,0,2021,New Award,,Not Available,"Monday, June 28, 2021",Lagos
,Construction of Fadaini-Obale Road in Apapa Local Government Area.,MINISTRY OF WORKS INFRASTRUCTURE,ocds-5q8fsw-6202147260536,"2,297,550,717.03",MESSRS. STRABIC CONSTRUCTION LIMITED,Private Organization,,0,2021,New Award,,Not Available,"Monday, June 28, 2021",Lagos
,"Completion works of Blocks A D of the multi Agency office complex, Alausa",MINISTRY OF WORKS INFRASTRUCTURE,ocds-5q8fsw-6202177711637,"1,498,557,543.05",MESSRS. MIGLIORE CONSTRUCZIONE TECHNICHE LIMITED,Private Organization,,0,2021,New Award,,Not Available,"Monday, June 28, 2021",Lagos
,Construction of Akesan-Obadore Road in Alimosho local Government Area.,MINISTRY OF WORKS INFRASTRUCTURE,ocds-5q8fsw-6202143350424,"1,498,557,543.05",MESSRS. SAMCHASE NIGERIA LIMITED,Private Organization,,0,2021,New Award,,Not Available,"Monday, June 28, 2021",Lagos
,Rehabilitation/Upgrading of Navy Town (Section 1) in Amuwo Odofin LGA.,MINISTRY OF WORKS INFRASTRUCTURE,ocds-5q8fsw-6202185164264,"1,048,991,389.46",MESSRS. ALIA ENGINEERING COMPANY LIMITED,Private Organization,,0,2021,New Award,,Not Available,"Monday, June 28, 2021",Lagos
